[ 2016-02-22 16:26:20 ] INFO sim_data with r2 =  0 , n =  1e+06 , p =  5  and adjusted.r.square =  FALSE 
[ 2016-02-22 16:26:23 ] INFO sim_data with r2 =  0 , n =  1e+06 , p =  5  and adjusted.r.square =  FALSE 
[ 2016-02-22 16:26:27 ] INFO sim_data with r2 =  0 , n =  1e+06 , p =  5  and adjusted.r.square =  FALSE 
[ 2016-02-22 16:26:30 ] INFO sim_data with r2 =  0 , n =  1e+06 , p =  5  and adjusted.r.square =  FALSE 
[ 2016-02-22 16:26:34 ] INFO sim_data with r2 =  0 , n =  1e+06 , p =  5  and adjusted.r.square =  FALSE 
[ 2016-02-22 16:26:37 ] INFO sim_data with r2 =  0 , n =  1e+06 , p =  5  and adjusted.r.square =  FALSE 
[ 2016-02-22 16:26:40 ] INFO sim_data with r2 =  0 , n =  1e+06 , p =  5  and adjusted.r.square =  FALSE 
[ 2016-02-22 16:26:43 ] INFO sim_data with r2 =  0 , n =  1e+06 , p =  5  and adjusted.r.square =  FALSE 
[ 2016-02-22 16:26:47 ] INFO sim_data with r2 =  0 , n =  1e+06 , p =  5  and adjusted.r.square =  FALSE 
[ 2016-02-22 16:26:50 ] INFO sim_data with r2 =  0 , n =  1e+06 , p =  5  and adjusted.r.square =  FALSE 
[ 2016-02-22 16:26:54 ] INFO sim_data with r2 =  0 , n =  1e+06 , p =  5  and adjusted.r.square =  FALSE 
[ 2016-02-22 16:26:57 ] INFO sim_data with r2 =  0 , n =  1e+06 , p =  5  and adjusted.r.square =  FALSE 
[ 2016-02-22 16:27:00 ] INFO sim_data with r2 =  0 , n =  1e+06 , p =  5  and adjusted.r.square =  FALSE 
[ 2016-02-22 16:27:04 ] INFO sim_data with r2 =  0 , n =  1e+06 , p =  5  and adjusted.r.square =  FALSE 
[ 2016-02-22 16:27:07 ] INFO sim_data with r2 =  0 , n =  1e+06 , p =  5  and adjusted.r.square =  FALSE 
[ 2016-02-22 16:27:11 ] INFO sim_data with r2 =  0 , n =  1e+06 , p =  5  and adjusted.r.square =  FALSE 
[ 2016-02-22 16:27:15 ] INFO sim_data with r2 =  0 , n =  1e+06 , p =  5  and adjusted.r.square =  FALSE 
[ 2016-02-22 16:27:18 ] INFO sim_data with r2 =  0 , n =  1e+06 , p =  5  and adjusted.r.square =  FALSE 
[ 2016-02-22 16:27:22 ] INFO sim_data with r2 =  0 , n =  1e+06 , p =  5  and adjusted.r.square =  FALSE 
[ 2016-02-22 16:27:25 ] INFO sim_data with r2 =  0 , n =  1e+06 , p =  5  and adjusted.r.square =  FALSE 
[ 2016-02-22 16:27:29 ] INFO sim_data with r2 =  0 , n =  1e+06 , p =  5  and adjusted.r.square =  FALSE 
[ 2016-02-22 16:27:32 ] INFO sim_data with r2 =  0 , n =  1e+06 , p =  5  and adjusted.r.square =  FALSE 
[ 2016-02-22 16:27:36 ] INFO sim_data with r2 =  0 , n =  1e+06 , p =  5  and adjusted.r.square =  FALSE 
[ 2016-02-22 16:27:39 ] INFO sim_data with r2 =  0 , n =  1e+06 , p =  5  and adjusted.r.square =  FALSE 
[ 2016-02-22 16:27:43 ] INFO sim_data with r2 =  0 , n =  1e+06 , p =  5  and adjusted.r.square =  FALSE 
[ 2016-02-22 16:27:46 ] INFO sim_data with r2 =  0 , n =  1e+06 , p =  5  and adjusted.r.square =  FALSE 
[ 2016-02-22 16:27:50 ] INFO sim_data with r2 =  0 , n =  1e+06 , p =  5  and adjusted.r.square =  FALSE 
[ 2016-02-22 16:27:53 ] INFO sim_data with r2 =  0 , n =  1e+06 , p =  5  and adjusted.r.square =  FALSE 
