[ 2016-02-22 09:26:01 ] INFO sim_data with r2 =  0 , n =  1e+06 , p =  5  and adjusted.r.square =  FALSE 
[ 2016-02-22 09:26:05 ] INFO sim_data with r2 =  0 , n =  1e+06 , p =  5  and adjusted.r.square =  FALSE 
[ 2016-02-22 09:26:09 ] INFO sim_data with r2 =  0 , n =  1e+06 , p =  5  and adjusted.r.square =  FALSE 
[ 2016-02-22 09:26:13 ] INFO sim_data with r2 =  0 , n =  1e+06 , p =  5  and adjusted.r.square =  FALSE 
[ 2016-02-22 09:26:16 ] INFO sim_data with r2 =  0 , n =  1e+06 , p =  5  and adjusted.r.square =  FALSE 
[ 2016-02-22 09:26:20 ] INFO sim_data with r2 =  0 , n =  1e+06 , p =  5  and adjusted.r.square =  FALSE 
[ 2016-02-22 09:26:24 ] INFO sim_data with r2 =  0 , n =  1e+06 , p =  5  and adjusted.r.square =  FALSE 
[ 2016-02-22 09:26:27 ] INFO sim_data with r2 =  0 , n =  1e+06 , p =  5  and adjusted.r.square =  FALSE 
[ 2016-02-22 09:26:31 ] INFO sim_data with r2 =  0 , n =  1e+06 , p =  5  and adjusted.r.square =  FALSE 
[ 2016-02-22 09:26:35 ] INFO sim_data with r2 =  0 , n =  1e+06 , p =  5  and adjusted.r.square =  FALSE 
[ 2016-02-22 09:26:39 ] INFO sim_data with r2 =  0 , n =  1e+06 , p =  5  and adjusted.r.square =  FALSE 
[ 2016-02-22 09:26:42 ] INFO sim_data with r2 =  0 , n =  1e+06 , p =  5  and adjusted.r.square =  FALSE 
[ 2016-02-22 09:26:46 ] INFO sim_data with r2 =  0 , n =  1e+06 , p =  5  and adjusted.r.square =  FALSE 
[ 2016-02-22 09:26:49 ] INFO sim_data with r2 =  0 , n =  1e+06 , p =  5  and adjusted.r.square =  FALSE 
[ 2016-02-22 09:26:53 ] INFO sim_data with r2 =  0 , n =  1e+06 , p =  5  and adjusted.r.square =  FALSE 
[ 2016-02-22 09:26:57 ] INFO sim_data with r2 =  0 , n =  1e+06 , p =  5  and adjusted.r.square =  FALSE 
